function,sampling_size,avg_exec_time
find_lazy,17,0.02
find_all_lazy,17,0.02
find_direct,17,0.03
find_lazy,34,0.03
find_all_lazy,34,0.03
find_direct,34,0.05
find_lazy,51,0.05
find_all_lazy,51,0.03
find_direct,51,0.08
find_lazy,68,0.07
find_all_lazy,68,0.04
find_direct,68,0.1
find_lazy,103,0.1
find_all_lazy,103,0.05
find_direct,103,0.15
find_lazy,154,0.15
find_all_lazy,154,0.08
find_direct,154,0.25
find_lazy,239,0.24
find_all_lazy,239,0.12
find_direct,239,0.37
find_lazy,376,0.38
find_all_lazy,376,0.19
find_direct,376,0.6
find_lazy,599,0.61
find_all_lazy,599,0.28
find_direct,599,0.96
find_lazy,958,1.0
find_all_lazy,958,0.48
find_direct,958,1.38
find_lazy,1539,1.55
find_all_lazy,1539,0.82
find_direct,1539,2.43
find_lazy,2480,2.5
find_all_lazy,2480,1.31
find_direct,2480,4.0
find_lazy,4001,3.99
find_all_lazy,4001,2.07
find_direct,4001,6.12
find_lazy,6515,6.54
find_all_lazy,6515,3.6
find_direct,6515,10.54
