period,smoother,lag_mean,lag_rsd,mase_mean,mase_rsd,lag_relative_mean,mase_relative_mean
5,HMA,0.0,NaN,0.5179076271376235,0.07169007412241363,0.0,0.1035815254275247
5,TEMA,0.0,NaN,0.3510138022229563,0.06810691949144075,0.0,0.07020276044459126
5,WMA,0.9998326639892905,0.01293800708959845,0.5622994716078429,0.06917030139955628,0.1999665327978581,0.11245989432156858
5,EMA,1.002677376171352,0.06822073131592028,0.686857396604272,0.07056663388112404,0.20053547523427043,0.13737147932085442
5,SMA,1.9998326639892905,0.017115169976044786,0.6378545352023258,0.07306134739095917,0.3999665327978581,0.12757090704046517
10,TEMA,0.9272088353413654,0.28021210523670076,0.6517065144713335,0.08893412499285319,0.09272088353413654,0.06517065144713335
10,HMA,1.0005020080321285,0.02890897323932764,0.64108917617143,0.0894560167592825,0.10005020080321285,0.064108917617143
10,WMA,2.589859437751004,0.1913728072108357,0.8221330875035349,0.08699368438908896,0.2589859437751004,0.08221330875035349
10,EMA,2.9514725568942435,0.08787511551054449,0.998613059027988,0.09427605720541654,0.29514725568942435,0.0998613059027988
10,SMA,4.294678714859438,0.10667469022329067,0.9367451660252212,0.09313300102896842,0.4294678714859438,0.09367451660252211
20,TEMA,1.8100736278447123,0.22299132260506208,0.9523369182572717,0.1168315212474528,0.09050368139223561,0.04761684591286359
20,HMA,2.7218875502008033,0.16517878338403064,0.9122555738253119,0.10910435578166171,0.13609437751004017,0.04561277869126559
20,WMA,5.263219544846051,0.08892871687634099,1.1500052645151864,0.11526107519154169,0.2631609772423026,0.05750026322575932
20,EMA,6.178714859437751,0.10255574915253468,1.4287118797226455,0.12239287602232503,0.30893574297188753,0.07143559398613228
20,SMA,9.311412315930388,0.05461910857113912,1.3258418329435182,0.12366433850347919,0.4655706157965194,0.06629209164717591
40,TEMA,3.5835006693440428,0.1686491208948572,1.384379523003114,0.14968204872914562,0.08958751673360107,0.03460948807507785
40,HMA,4.988286479250335,0.06010901302895997,1.276945028626494,0.14250801327509627,0.12470716198125838,0.03192362571566235
40,WMA,11.131191432396252,0.06268622916504674,1.6218462666484912,0.1472841905781539,0.2782797858099063,0.04054615666621228
40,EMA,12.93222891566265,0.11508764481679934,2.033600740341116,0.1548356205200954,0.3233057228915662,0.050840018508527894
40,SMA,19.36077643908969,0.042451475008341774,1.8804416989863277,0.15565783451702497,0.48401941097724227,0.04701104247465819
80,TEMA,7.123493975903615,0.17703746504565676,1.974307128096473,0.19770177790141777,0.08904367469879518,0.024678839101205913
80,HMA,9.33467202141901,0.10230024526206095,1.8085724741166358,0.18681579819750732,0.11668340026773763,0.02260715592645795
80,WMA,22.726572958500668,0.07427949973478526,2.2869423729747136,0.19005943252948532,0.28408216198125835,0.02858677966218392
80,EMA,26.362617135207497,0.14112150511034893,2.879391530069258,0.19939313595501124,0.3295327141900937,0.035992394125865725
80,SMA,39.24079651941098,0.05330281246031149,2.6638376098245256,0.19894915017361822,0.49050995649263723,0.03329797012280657
160,TEMA,13.248828647925034,0.23672006524274078,2.8284654602036916,0.25528474388732514,0.08280517904953147,0.017677909126273074
160,HMA,17.532630522088354,0.15419623002192298,2.5604806507925626,0.2695413692704169,0.10957894076305222,0.016003004067453516
160,WMA,46.01321954484605,0.1093883657833313,3.2206480137361715,0.26960140060478655,0.28758262215528785,0.020129050085851072
160,EMA,53.212182061579654,0.17962885748464913,4.0558405132951245,0.2658159949279857,0.33257613788487284,0.02534900320809453
160,SMA,79.29635207496653,0.08380971664520014,3.7437141848666817,0.2831028599374372,0.49560220046854087,0.02339821365541676
